,OBJECTID,River,RiverSeg,Year,BLGL,BLSK,CARP,CHIN,CHUM,CMCB,CNCF,COHO,CTTT,GDFH,GRSG,LFSM,LMBS,LSSK,MTWF,NPMW,PCLP,PKSC,PMCB,PNSD,SMBS,STEE,STFL,TSSB,WLYE,WTCP,WTSG,YLBH,YWPH,Margalef,SWI_2,SWI_e,SWI_10,lam,1-lam,lam',1-lam',N1,N2,N_Inf,N10,N10',N21,N21',Pielou
0,1,Columbia,Bonneville Reservoir,2006,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0.205128205,0,1.435897436,0,0.102564103,5.974358974,0,0,0,0,0,0,0,13.51282051,0,0.051282051,1.9613816066003686,1.3274391793359084,0.92011072452149245,0.3995990103996872,0.48545892392234924,0.51454107607765076,0.46012167396062092,0.53987832603937913,2.509568245296426,2.0599065146857889,1.5768500950065532,0.35850974932806084,0.25159470754940433,0.82082107890334588,0.70212560312413075,0.4728433761282253
1,2,Columbia,Bonneville Reservoir,2007,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.025641026,0,1.282051282,0,0.025641026,3.051282051,0,0,0,0,0,0,0,7.641025641,0,0.025641026,2.008700849523306,1.3190949420689402,0.91432693998597026,0.3970871446913925,0.47744680843867632,0.52255319156132374,0.43016241291763763,0.56983758708236243,2.495095337723761,2.0944741536133673,1.5771812081529435,0.41584922295396015,0.2990190675447522,0.83943652250343481,0.73204305170242334,0.51029558134825448
2,3,Columbia,Bonneville Reservoir,2008,0,0,0,0,0,0,0,0.02631579,0,0,0,0,0,0.210526316,0,0.815789474,0,0.078947368,4.0,0,0,0,0,0,0,0,12.13157895,0,0.421052632,2.0886476499733106,1.3160746689368175,0.91223344617991831,0.39617795188352561,0.52463329080484034,0.47536670919515966,0.49614127984990797,0.50385872015009203,2.489877334922751,1.9060932989324777,1.4577006507467025,0.3556967621318216,0.24831288915379188,0.765537029554757,0.60816637564290343,0.46879525584610521
3,4,Columbia,Bonneville Reservoir,2009,0,0,0,0,0,0,0,0.205128205,0,0,0,0,0,0.17948718,0,2.743589744,0,0.051282051,7.102564103,0,0,0,0,0,0,0,8.333333333,0,0.076923077,2.049101886795745,1.6481205605276044,1.1423901197525859,0.4961337251893429,0.36491162704834756,0.63508837295165244,0.32901532770900654,0.67098467229099346,3.134250654238989,2.7403895241395224,2.2430769232497236,0.4477500934627127,0.35570844237316485,0.87433642884726526,0.8154569477033119,0.58707238888043489
4,5,Columbia,Bonneville Reservoir,2010,0,0,0,0,0,0,0,2.257142857,0,0,0,0,0,0.542857143,0,3.0,0,0.085714286,7.885714286,0,0,0,0,0,0,0,7.228571429,0,0.457142857,1.95691040473386,2.0824825553714548,1.443466911820994,0.6268897146137854,0.28027787184735603,0.71972212815264403,0.24509592424360316,0.75490407575639684,4.235353991835165,3.5678878015194027,2.7210144927637314,0.6050505702621665,0.5392256653058608,0.84240604407506647,0.79369608642510225,0.74179525325039186
5,6,Columbia,Bonneville Reservoir,2011,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,3.157894737,0,0.052631579,1.421052632,0,0,0,0,0,0,0,5.657894737,0,0.157894737,1.7047754144242782,1.5222595946305084,1.0551499460984621,0.45824579917107572,0.40340970372438717,0.59659029627561289,0.34026087014165757,0.65973912985834238,2.872405827658672,2.4788694738072246,1.8465116280228879,0.5744811655317343,0.468101456914668,0.86299416674968144,0.78982315263163849,0.65560152270966598
6,7,Columbia,Bonneville Reservoir,2012,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.02631579,0,2.315789474,0,0.02631579,2.52631579,0,0,0,0,0,0,0,2.973684211,0,0.02631579,2.419905583503348,1.65793000759119,1.149189510327562,0.49908666299636023,0.3303555554259614,0.6696444445740386,0.23323155205523696,0.76676844794476307,3.1556342639709256,3.0270415725583821,2.6548672571877203,0.5259390439951542,0.4311268527941851,0.95924981139901566,0.9403457749944738,0.64137487763503664
7,8,Columbia,Bonneville Reservoir,2013,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0.057142857,0,1.342857143,0,0.0,3.028571429,0,0,0,0,0,0,0,4.257142857,0,0.114285714,2.295691265021299,1.6051803297522327,1.1126262198580434,0.48320742770522251,0.37355075877532906,0.62644924122467094,0.29352987030210576,0.70647012969789424,3.0423377599054287,2.6770123644734634,2.073825503525967,0.5070562933175714,0.40846755198108575,0.87991951444493088,0.82112390878535102,0.62096851668231845
8,9,Columbia,Columbia River Estuary,2004,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0.243589744,0,3.461538462,0,0.243589744,39.97435897,0,0,0,0,0,0,0,4.243589744,0,0.256410256,1.5461901594261145,0.93113757210008141,0.6454153828146042,0.28030033929185744,0.69362238533662257,0.30637761466337743,0.68716535914232035,0.31283464085767965,1.9067789079837587,1.4417066420292779,1.2119948685696209,0.27239698685482266,0.1511298179972931,0.75609533753116065,0.48711614059420677,0.33167789536836317
9,10,Columbia,Columbia River Estuary,2005,0,0,0,0,0,0,0,0.04494382,0,0,0,0,0,0.101123596,0,1.696629214,0,0.168539326,13.64044944,0,0,0,0,0,0,0,3.685393258,0,0.02247191,2.0248476705437657,1.2501208907919528,0.86651777081152925,0.37632388633455377,0.54046933890342108,0.45953066109657892,0.51543982309394143,0.48456017690605857,2.3786135378416655,1.8502437197065393,1.4192751235328798,0.3398019339773808,0.22976892297361093,0.77786647148465971,0.61673826374697205,0.44530204605397644
