OBJECTID,River,RiverSeg,Year,BLGL,BLSK,CARP,CHIN,CHUM,CMCB,CNCF,COHO,CTTT,GDFH,GRSG,LFSM,LMBS,LSSK,MTWF,NPMW,PCLP,PKSC,PMCB,PNSD,SMBS,STEE,STFL,TSSB,WLYE,WTCP,WTSG,YLBH,YWPH
1,Columbia,Bonneville Reservoir,2006,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0.205128205,0,1.435897436,0,0.102564103,5.974358974,0,0,0,0,0,0,0,13.51282051,0,0.051282051
2,Columbia,Bonneville Reservoir,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,1.282051282,0,0.025641026,3.051282051,0,0,0,0,0,0,0,7.641025641,0,0.025641026
3,Columbia,Bonneville Reservoir,2008,0,0,0,0,0,0,0,0.02631579,0,0,0,0,0,0.210526316,0,0.815789474,0,0.078947368,4,0,0,0,0,0,0,0,12.13157895,0,0.421052632
4,Columbia,Bonneville Reservoir,2009,0,0,0,0,0,0,0,0.205128205,0,0,0,0,0,0.17948718,0,2.743589744,0,0.051282051,7.102564103,0,0,0,0,0,0,0,8.333333333,0,0.076923077
5,Columbia,Bonneville Reservoir,2010,0,0,0,0,0,0,0,2.257142857,0,0,0,0,0,0.542857143,0,3,0,0.085714286,7.885714286,0,0,0,0,0,0,0,7.228571429,0,0.457142857
6,Columbia,Bonneville Reservoir,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.157894737,0,0.052631579,1.421052632,0,0,0,0,0,0,0,5.657894737,0,0.157894737
7,Columbia,Bonneville Reservoir,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02631579,0,2.315789474,0,0.02631579,2.52631579,0,0,0,0,0,0,0,2.973684211,0,0.02631579
8,Columbia,Bonneville Reservoir,2013,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0.057142857,0,1.342857143,0,0,3.028571429,0,0,0,0,0,0,0,4.257142857,0,0.114285714
9,Columbia,Columbia River Estuary,2004,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0.243589744,0,3.461538462,0,0.243589744,39.97435897,0,0,0,0,0,0,0,4.243589744,0,0.256410256
10,Columbia,Columbia River Estuary,2005,0,0,0,0,0,0,0,0.04494382,0,0,0,0,0,0.101123596,0,1.696629214,0,0.168539326,13.64044944,0,0,0,0,0,0,0,3.685393258,0,0.02247191
