OBJECTID,River,RiverSeg,Year,ALBS,ALHS,ALSH,BHMW,BKCP,BKMT,BKRH,BLGL,BPTM,BTRH,BTSN,BZDR,CKCB,CNCF,FHCF,GDRH,GDSN,GNSF,GZSD,LDCB,LESF,LMBS,LSDT,LSSR,MBLP,MQTF,MSDR,PTSN,RBSF,REBS,RESF,RFMW,RUSN,SHBS,SHCB,SKDR,SKMT,SPSN,SSSN,STSF,TFSD,TPDR,TPSC,TPSN,WDSN,YLBH,YWPH
1,Tallapoosa,Lower,2005,0,0.37,1.78,0.26,0.01,0.01,0,0.01,0,0,0.23,0.91,0,0.23,0.03,0,0,0,0,0,0,0,0.77,0.11,0.01,0.01,0.54,0,0,0,0,0.04,0.01,0,0,0.11,0.15,0.04,0.45,0,0,0.07,0.01,0.54,0.03,0,0
2,Tallapoosa,Lower,2006,0,0.94,1.74,0.04,0,0.01,0,0,0,0,0.22,1.44,0,0.01,0.01,0,0,0,0,0,0,0,1.78,0.39,0,0,0.72,0,0,0,0,0,0,0,0,0.26,0.07,0,0.29,0,0,0.35,0,0.49,0.02,0,0
3,Tallapoosa,Lower,2007,0,0.72,7.28,0,0,0.01,0,0.01,0,0,0.44,2.71,0,0.04,0.03,0,0,0,0,0,0,0,1.41,0.07,0.03,0,0.45,0,0,0,0,0.01,0,0,0,0.16,0.01,0,0.38,0,0,0.64,0,1.27,0,0,0
4,Tallapoosa,Lower,2008,0,0.5,6.41,0,0,0.03,0,0,0,0,0.17,4.02,0,0.15,0.01,0,0,0,0,0,0,0,2.63,0.36,0.04,0,0.81,0,0,0,0,0.02,0,0,0,0.48,0.01,0,1.83,0,0,0.67,0,0.3,0,0,0
5,Tallapoosa,Lower,2009,0,0.14,3.1,0,0,0,0,0.02,0,0,0.04,2.2,0,0.42,0.1,0,0,0,0,0,0,0,2.02,0.16,0.04,0,0.32,0,0,0,0,0.02,0.02,0,0,0.1,0,0,0.18,0,0,0.1,0,0.06,0,0,0
6,Tallapoosa,Lower,2010,0,0.35,1.5,0,0,0,0,0,0,0,0.1,4.8,0,0.05,0.05,0,0,0,0,0,0,0,4.2,0.05,0,0,0.35,0,0,0,0,0,0,0,0,0.35,0,0,0.7,0,0,0.1,0,0.3,0,0,0
7,Tallapoosa,Lower,2011,0,0.35,5.925,0,0,0.075,0,0,0,0,0.125,2.8,0,0.025,0.025,0,0,0,0,0,0,0,0.775,0.3,0.05,0,0.275,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.025,0,0.1,0,0,0
8,Tallapoosa,Lower,2012,0,0.2,4.75,0,0,0,0,0,0,0,0.25,2.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.05,0,0.5,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0
9,Tallapoosa,Lower,2013,0,0,0.25,0.1,0,0,0,0.05,0,0,0.1,0.85,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0
10,Tallapoosa,Wadley,2005,0,0.17,1.625,0,0,0.005,0,0.01,0,0,0.115,1.28,0,0.04,0,0,0,0,0,0,0,0,1.35,0.335,0,0,0.5,0,0,0,0,0,0.305,0,0,0.095,0.005,0.025,0.09,0,0,0.115,0.015,0.27,0.01,0,0
11,Tallapoosa,Wadley,2006,0,0.315,1.685,0,0,0.005,0,0.015,0,0,0.3,1.885,0,0.115,0,0,0,0,0,0,0,0,1.92,0.17,0.005,0,1.225,0,0,0,0,0,0.12,0,0,0.295,0,0.02,0.045,0,0,0.355,0,0.03,0,0,0
12,Tallapoosa,Wadley,2007,0,0.355,2.16,0,0,0,0,0.005,0,0,0.105,3.845,0,0.09,0.02,0,0,0,0,0,0,0,1.51,0.635,0.005,0,1.72,0,0,0,0,0,0,0,0,1.03,0.015,0.01,0.21,0,0,0.37,0,0.035,0,0,0
13,Tallapoosa,Wadley,2008,0,0.15,4.83,0,0,0.08,0,0.01,0,0,0.41,1.92,0,0.08,0,0,0,0,0,0,0,0,3.34,1.46,0.01,0,0.43,0,0,0,0,0,0.1,0,0,0.2,0.03,0.12,1.07,0,0,0.19,0,0.09,0,0,0
14,Tallapoosa,Wadley,2009,0,0.06,4.31,0,0,0.03,0,0,0,0,0.1,2.86,0,0.02,0.02,0,0,0,0,0,0,0,4.3,0.2,0,0,0.35,0,0,0,0,0,0.04,0,0,0.1,0.01,0.07,0.05,0,0,0.18,0,0,0,0,0
15,Tallapoosa,Wadley,2010,0,0.19,3.44,0,0,0.03,0,0,0,0,0.15,2.93,0,0.06,0.01,0,0,0,0,0,0,0,3.05,0.07,0.01,0,0.65,0,0,0,0,0,0.14,0,0,0.11,0.03,0.04,0.33,0,0,0.12,0,0.02,0,0,0
16,Tallapoosa,Wadley,2011,0,0.28,2.58,0,0,0.03,0,0,0,0,0.16,5.92,0,0.02,0.01,0,0,0,0,0,0,0,3.79,0.05,0.02,0,0.76,0,0,0,0,0,0.03,0,0,0.51,0.01,0.04,0.41,0,0,0.3,0,0.25,0,0,0
17,Tallapoosa,Wadley,2012,0,0.185714286,1.714285714,0,0,0.1,0,0,0,0,0.114285714,4,0,0,0.014285714,0,0,0,0,0,0,0,1.614285714,0.285714286,0,0,1.028571429,0,0,0,0,0,0,0,0,0.728571429,0.014285714,0.014285714,0.671428571,0,0,0.457142857,0.014285714,0.014285714,0,0,0
18,Tallapoosa,Wadley,2013,0,0.03,0.43,0,0,0,0,0,0,0,0,4.01,0,0.01,0,0,0,0,0,0,0,0,1.32,0.03,0,0,0.27,0,0,0,0,0,0,0,0,0.47,0.01,0,0.07,0,0,0.07,0,0,0,0,0
19,Tallapoosa,Malone,2005,0,0.05,0.327272727,0,0,0.004545455,0,0.204545455,0,0,0.036363636,0.618181818,0,0.027272727,0,0,0,0,0,0,0,0,0.177272727,0.1,0.004545455,0,0.136363636,0,0,0,0,0.004545455,0.031818182,0,0,0.040909091,0,0.013636364,0,0,0,0.095454545,0.004545455,0.004545455,0.004545455,0,0
20,Tallapoosa,Malone,2006,0,0.125,0.275,0,0,0.005,0,0.025,0,0,0.055,1.36,0,0.015,0,0,0,0,0,0,0,0,0.645,0.11,0,0,0.41,0,0,0,0,0,0.01,0,0,0.08,0.005,0,0.01,0,0,0.23,0,0.01,0,0,0
21,Tallapoosa,Malone,2007,0,0.175,0.42,0,0,0.01,0,0.02,0,0,0.03,1.835,0,0.015,0,0,0,0,0,0,0,0,0.875,0.285,0,0,0.635,0,1,0,0,0,0.005,0,0,0.135,0,0.02,0.065,0,0,0.43,0.005,0.04,0,0,0
22,Tallapoosa,Malone,2008,0,0.08,0.5,0,0,0.06,0,0.11,0,0,0.35,1.23,0,0.01,0.01,0,0,0,0,0,0,0,2.11,0.73,0.01,0,0.04,0,1,0,0,0,0.01,0,0,0.3,0.02,0.07,0.36,0,1,0.5,0,0,0,0,0
23,Tallapoosa,Malone,2009,0,0.03,1.01,0,0,0.04,0,0.4,0,0,0.4,1.59,0,0.08,0,0,0,0,0,0,0,0,2.33,0.2,0.01,0,0.08,0,1,0,0,0,0.09,0,0,0.37,0,0.24,0,0,0,0.65,0,0.01,0,0,0
24,Tallapoosa,Malone,2010,0,0.01,0.94,0,0.01,0.05,0,0.18,0,0,0.15,1.42,0,0.04,0.01,0,0,0,0,0,0,0,2.39,0.09,0,0,0.02,0,1,0,0,0,0,0,0,0.26,0.04,0.02,0,0,0,0.38,0,0,0,0,0
25,Tallapoosa,Malone,2011,0,0.16,0.56,0.79,0,0,0,0.06,0,0,0.06,4.52,0,0,0,0,0,0,0,0,0,0,3.05,1.01,0,0,0.27,0,1,0,0,0,0,0,0,0.75,0,0.03,0.04,0,0,0.7,0,0.06,0,0,0
26,Tallapoosa,Malone,2012,0,0.05,0,0,0,0,0,0.05,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.85,0,0,0,0,0
27,Tallapoosa,Malone,2013,0,0.1,0.14,0.06,0,0.01,0,0.05,0,0,0,1.71,0,0.03,0,0,0,0,0,0,0,0,1.38,0.26,0,0,0.03,0,0,0,0,0.01,0,0,0,0.41,0,0.01,0,0,0,0.77,0.01,0,0,0,0
28,Tallapoosa,Upper,2005,0,1.44,2.09,10.92,0,0.03,0,0.03,0,0,0.9,1.87,0,0.19,0,0,0,0,0,0,0,0,1.13,1.99,0.01,0.39,1.3,0,0,0,0,0.4,0,0,0,2.69,0.23,0.15,0.3,0,0,0.9,0.18,0.51,0,0,0
29,Tallapoosa,Upper,2006,0,3.335,2.235,5.23,0,0.03,1,0.005,0,0,0.58,1.14,0,0.07,0,0,0,0,0,0,0,0,0.975,11.34,0,0.37,0.345,0,0,0,0,0.19,0.005,0,0,1.255,0.46,0.345,0.065,0,0,0.055,0.13,0.375,0,0,0
